hookA	Pagas un anuncio y te escriben treinta y siete.
hookB	¿Cuántos de verdad compran?
contesta	Gósti le contesta a cada uno al instante, en Mésenyer, de día y de noche.
califica	Le pregunta lo que falta, le cotiza en pe de efe, le agenda la cita y te lo deja en tu tablero.
filtroA	A los curiosos los despide con amabilidad y deja de gastar en ellos.
filtroB	Y si el correo o el teléfono es falso, te lo marca.
reporteA	Y a las nueve de la mañana y a las nueve de la noche te manda el reporte:
reporteB	quién escribió, qué quiere, qué sigue.
cierre	Tú sólo hablas con los que sí compran.
ctaA	Escríbenos por Mésenyer,
ctaB	y te armamos tu tablero gratis, con tu marca.
ctaC	Hasta el treinta y uno de octubre.
